state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,2001,10,7,48849,48463,2555,3,125267,4519,1095
AK,2001,11,10,78001,83888,3405,4,177554,10191,1460
AK,2001,12,11,97828,174367,3528,8,444074,12969,2498
AK,2001,13,15,178347,184758,4656,3,239587,7504,1095
AK,2001,14,96,2045265,1919315,33282,32,3932702,98948,10459
AK,2001,15,198,8899553,9746142,68952,39,9465143,366226,13354
AK,2001,16,361,31111067,38664063,129035,76,36064304,1483013,25092
AK,2001,17,317,49215654,89095070,110765,103,89914405,5285646,34309
AK,2001,18,175,49976893,87694637,60480,197,374873312,19828548,69316
AK,2001,19,52,24935484,47278010,15099,251,954738953,44430365,87387
AK,2001,20,24,24845173,28369880,6330,174,1250408561,58564353,61259
AK,2001,21,8,16556687,31614700,2586,26,345088572,14483452,9400
AK,2001,22,1,874799,1849871,61,1,23976924,1132629,365
AK,2000,1,8,1002,1076,2470,11,3262,47,3234
AK,2000,2,1,364,908,366,4,8399,285,1129
AK,2000,3,6,4612,5821,2196,3,20707,0,1037
AK,2000,4,3,5025,4319,1098,2,13454,481,610
AK,2000,5,5,5972,7715,1035,2,32188,0,732
AK,2000,6,1,2901,819,366,1,16377,912,366
AK,2000,7,2,4006,14570,580,5,62044,2572,1188
AK,2000,8,6,19420,45230,1921,5,104276,7775,1830
AK,2000,9,7,36844,55825,2562,8,160939,3218,1676
AK,2000,10,8,58381,44919,2928,2,89288,1234,732
AK,2000,11,7,58365,72884,2562,4,211869,5185,1464
AK,2000,12,10,95963,123653,3538,7,346099,24421,2227
AK,2000,13,14,180085,260232,4819,5,424450,7963,1739
AK,2000,14,90,2058032,1640345,31171,28,3549124,112317,9483
AK,2000,15,165,7854754,6920737,58593,42,11241226,445040,14976
AK,2000,16,316,27566168,32211653,113734,65,31847907,1404940,21806
AK,2000,17,330,51749784,89906989,118650,100,94739647,4832572,33822
AK,2000,18,188,54297828,98760377,65523,192,350056533,20936358,67160
AK,2000,19,61,26693212,52165947,17266,245,916649557,47226860,85370
AK,2000,20,18,15309865,24973693,4637,183,1261194886,63495370,63172
AK,2000,21,3,4473000,16449471,763,39,539550576,26165807,14274
AK,2000,22,0,0,0,0,0,0,0,0
AK,1999,1,6,549,1025,2068,19,14170,164,5623
AK,1999,2,1,530,435,365,6,13911,393,1976
AK,1999,3,2,1656,2366,730,5,17557,528,1306
AK,1999,4,3,2071,883,486,5,48225,297,1825
AK,1999,5,5,7261,19777,1427,4,22207,0,542
AK,1999,6,5,7547,7712,943,2,20537,2393,671
AK,1999,7,3,7528,8610,791,0,0,0,0
AK,1999,8,0,0,0,0,3,69805,3245,1095
AK,1999,9,11,54021,70484,3864,7,187784,5768,2131
AK,1999,10,10,75949,40295,3619,4,164311,2183,1307
